iter	Passed	Remaining
744	16852	5768
745	16876	5746
746	16895	5722
747	16917	5699
748	16942	5677
749	16962	5654
750	16983	5630
751	17006	5608
752	17027	5585
753	17049	5562
754	17071	5539
755	17091	5516
756	17112	5493
757	17136	5471
758	17157	5447
759	17179	5425
760	17205	5403
761	17224	5379
762	17248	5357
763	17271	5335
764	17289	5311
765	17312	5288
766	17335	5266
767	17355	5242
768	17379	5220
769	17399	5197
770	17421	5174
771	17443	5151
772	17464	5128
773	17484	5105
774	17506	5082
775	17529	5059
776	17547	5036
777	17574	5014
778	17595	4991
779	17616	4968
780	17640	4946
781	17661	4923
782	17681	4900
783	17706	4878
784	17732	4856
785	17773	4839
786	17793	4815
787	17816	4793
788	17872	4779
789	17905	4759
790	17932	4738
791	17954	4715
792	17977	4692
793	17997	4669
794	18019	4646
795	18040	4623
796	18060	4599
797	18081	4577
798	18103	4554
799	18122	4530
800	18145	4508
801	18169	4485
802	18189	4462
803	18214	4440
804	18236	4417
805	18255	4394
806	18280	4371
807	18301	4348
808	18321	4325
809	18344	4303
810	18366	4280
811	18388	4257
812	18412	4235
813	18433	4211
814	18455	4189
815	18480	4167
816	18499	4143
817	18521	4120
818	18545	4098
819	18566	4075
820	18587	4052
821	18612	4030
822	18631	4007
823	18654	3984
824	18676	3961
825	18697	3938
826	18719	3916
827	18743	3893
828	18763	3870
829	18787	3847
830	18809	3825
831	18829	3802
832	18850	3779
833	18872	3756
834	18893	3733
835	18916	3710
836	18938	3688
837	18958	3664
838	18979	3642
839	19001	3619
840	19021	3596
841	19044	3573
842	19066	3550
843	19086	3527
844	19112	3505
845	19136	3483
846	19157	3460
847	19181	3438
848	19201	3415
849	19223	3392
850	19244	3369
851	19265	3346
852	19286	3323
853	19311	3301
854	19333	3278
855	19354	3255
856	19378	3233
857	19398	3210
858	19419	3187
859	19442	3165
860	19462	3142
861	19482	3119
862	19508	3096
863	19528	3073
864	19549	3051
865	19573	3028
866	19592	3005
867	19613	2982
868	19635	2959
869	19660	2937
870	19688	2915
871	19710	2893
872	19734	2870
873	19758	2848
874	19778	2825
875	19798	2802
876	19822	2780
877	19843	2757
878	19869	2735
879	19893	2712
880	19915	2690
881	19939	2667
882	19960	2644
883	19980	2621
884	20002	2599
885	20024	2576
886	20046	2553
887	20070	2531
888	20092	2508
889	20114	2486
890	20137	2463
891	20157	2440
892	20179	2417
893	20203	2395
894	20224	2372
895	20246	2350
896	20268	2327
897	20289	2304
898	20313	2282
899	20334	2259
900	20354	2236
901	20378	2214
902	20399	2191
903	20418	2168
904	20443	2146
905	20465	2123
906	20486	2100
907	20510	2078
908	20531	2055
909	20552	2032
910	20578	2010
911	20599	1987
912	20622	1965
913	20646	1942
914	20669	1920
915	20692	1897
916	20715	1874
917	20736	1852
918	20761	1829
919	20783	1807
920	20805	1784
921	20829	1762
922	20852	1739
923	20874	1716
924	20899	1694
925	20919	1671
926	20942	1649
927	20966	1626
928	20988	1604
929	21012	1581
930	21039	1559
931	21061	1536
932	21085	1514
933	21108	1491
934	21129	1468
935	21153	1446
936	21176	1423
937	21200	1401
938	21221	1378
939	21244	1356
940	21268	1333
941	21289	1310
942	21312	1288
943	21336	1265
944	21358	1243
945	21380	1220
946	21404	1197
947	21424	1175
948	21448	1152
949	21473	1130
950	21493	1107
951	21519	1085
952	21540	1062
953	21561	1039
954	21587	1017
955	21615	994
956	21644	972
957	21668	949
958	21690	927
959	21713	904
960	21734	882
961	21754	859
962	21779	836
963	21800	814
964	21835	791
965	21861	769
966	21881	746
967	21904	724
968	21926	701
969	21947	678
970	21971	656
971	21992	633
972	22016	610
973	22041	588
974	22060	565
975	22082	543
976	22107	520
977	22128	497
978	22149	475
979	22174	452
980	22195	429
981	22217	407
982	22244	384
983	22263	362
984	22285	339
985	22309	316
986	22328	294
987	22360	271
988	22383	248
989	22407	226
990	22428	203
991	22450	181
992	22473	158
993	22493	135
994	22514	113
995	22536	90
996	22557	67
997	22579	45
998	22602	22
999	22622	0
